Author,Minf,Red2,ReTheta,Tw_Tr,ViscLaw,Tinf,cf_DNS,ch_DNS,Symbol,Color,Size
Zhang et al. [19],2.5,1667.468967,2850.067224,1,Sutherland,270,0.002312474,NaN,P,tab:red,1.3
Zhang et al. [19],5.86,1816.680802,9175.435339,0.76,Sutherland,55,0.00099785,0.000583446,P,tab:red,1.3
Zhang et al. [19],5.84,1097.366244,2052.651751,0.25,Sutherland,55.2,0.001704303,0.001001978,P,tab:red,1.3
Zhang et al. [19],7.87,1958.173161,9552.219288,0.48,Sutherland,51.8,0.000766287,0.000440948,P,tab:red,1.3
Zhang et al. [19],13.64,2333.279583,14301.773,0.18,Sutherland,47.4,0.000403949,0.000226292,P,tab:red,1.3
Bernandini & Pirozzoli [20],2,580.0059755,920.9351521,1,Sutherland,169.4,0.003422267,NaN,*,tab:blue,1.5
Bernandini & Pirozzoli [20],2,1387.662592,2200.721638,1,Sutherland,169.4,0.002762338,NaN,*,tab:blue,1.5
Bernandini & Pirozzoli [20],2,1910.760966,3030.632593,1,Sutherland,169.4,0.002534692,NaN,*,tab:blue,1.5
Bernandini & Pirozzoli [20],2,3152.515323,5000.44778,1,Sutherland,169.4,0.002239954,NaN,*,tab:blue,1.5
Bernandini & Pirozzoli [20],2,4010.313231,6362.664644,1,Sutherland,169.4,0.002104814,NaN,*,tab:blue,1.5
Bernandini & Pirozzoli [20],3,1425.490058,3098.353107,1,Sutherland,169.4,0.002008369,NaN,*,tab:blue,1.5
Bernandini & Pirozzoli [20],3,1864.686212,4051.965098,1,Sutherland,169.4,0.001856294,NaN,*,tab:blue,1.5
Bernandini & Pirozzoli [20],4,1718.321036,4881.659863,1,Sutherland,169.4,0.001368854,NaN,*,tab:blue,1.5
Bernandini & Pirozzoli [20],4,2159.650512,6129.749035,1,Sutherland,169.4,0.001321752,NaN,*,tab:blue,1.5
Cogo et al. [21],2,1229.50679,1596.303891,0.76,Sutherland,100,0.003254274,0.001819572,X,tab:orange,1.3
Cogo et al. [21],2,6369.504333,8270.46502,0.76,Sutherland,100,0.002158737,0.001167662,X,tab:orange,1.3
Cogo et al. [21],5.86,1968.705113,7997.062157,0.76,Sutherland,100,0.001009888,0.000545911,X,tab:orange,1.3
Cogo et al. [21],5.86,10037.86458,40774.65271,0.76,Sutherland,100,0.000677527,0.000352657,X,tab:orange,1.3
Ceci et al. [22],5.84,1353.690993,2552.138353,0.25,Sutherland,55.2,0.00161708,0.000928737,D,tab:purple,1
Ceci et al. [22],5.84,1699.716445,3218.533663,0.25,Sutherland,55.2,0.001513795,0.000866269,D,tab:purple,1
Ceci et al. [22],5.84,1954.75163,3703.818774,0.25,Sutherland,55.2,0.001444992,0.000816694,D,tab:purple,1
Ceci et al. [22],5.84,2301.115499,4364.993499,0.25,Sutherland,55.2,0.001380738,0.000770947,D,tab:purple,1
Ceci et al. [22],5.84,2625.992001,4994.410052,0.25,Sutherland,55.2,0.001336105,0.000757804,D,tab:purple,1
Ceci et al. [22],5.84,2988.493224,5688.399376,0.25,Sutherland,55.2,0.001296628,0.000728467,D,tab:purple,1
"A. Ceci, private comm.",5.84,1981.155688,10180.9769,0.76,Sutherland,55,0.000978935,0.000532929,^,tab:cyan,1
"A. Ceci, private comm.",7.87,2131.553488,11851.02579,0.48,Sutherland,51.8,0.000729937,0.000401922,^,tab:cyan,1
Huang et al. [38],10.9,2204,9080,0.2,Sutherland,66.5,0.00061,0.00036,o,tab:green,1
Huang et al. [38],10.9,3419,14143,0.2,Sutherland,66.5,0.00055,0.00032,o,tab:green,1
Huang et al. [38],10.9,4390,18164,0.2,Sutherland,66.5,0.00051,0.00029,o,tab:green,1
Huang et al. [38],13.64,2330,14258,0.18,Sutherland,47.4,0.0004,0.00024,o,tab:green,1